genepair	stat	globalCor	pval	nperm	globalCorMin	globalCorMax	fdr	sigCluster	startCor	branchpointCor	endCor
Btg2_Hat1	0.0473742988587123	-0.0840748571224625	0.77778125	64000	-0.181291302677755	0.0158947174623861	0.95860366373716	NA	-0.0378358158894365	-0.144169441854161	-0.169090273103207
Fubp1_Stxbp2	0.0473877340201505	0.0197666254044796	0.777634920634921	63000	-0.0768072113534504	0.118310693314289	0.95860366373716	NA	-0.0409863795191255	-0.0530355946278974	0.0923468056390332
Gmfb_Nudt19	0.0475161413761198	0.00661125542471724	0.777873015873016	63000	-0.0933510750136667	0.106193356516958	0.95860366373716	NA	0.00895139007061636	-0.0593463015542364	0.0899280496913852
Gypc_Igf2r	0.0474703876185942	0.0735284399889606	0.777825396825397	63000	-0.0252956760219812	0.170167297378573	0.95860366373716	NA	-0.0812248497487547	0.00471285789709382	0.0706234920029651
Id2_Supt16	0.0474471092731196	0.00842140860837826	0.777677419354839	62000	-0.083221991391127	0.107699785608602	0.95860366373716	NA	-0.0463633358328131	0.0336457898331513	0.0951662564177417
Klhl13_Lpp	0.0473612628414988	0.0315694602333463	0.777873015873016	63000	-0.0667219459826967	0.127294848422419	0.95860366373716	NA	0.0585820653110675	0.0100988492184633	0.116319676212412
Akr1c13_Mat2b	0.0473431526680578	0.0322793865868798	0.778047619047619	63000	-0.0667219459826967	0.127294848422419	0.958714042111507	NA	-0.00485640228371831	-0.0551966203227104	0.040048094447054
Casp8ap2_Nudt19	0.0474449120184765	0.0719778392725322	0.778111111111111	63000	-0.0252956760219812	0.170167297378573	0.958714042111507	NA	0.208010522937749	0.0960343506849592	0.0744822904613612
Cdca8_Gpi1	0.0474524582488193	0.0409571673055062	0.778222222222222	63000	-0.0546457771396647	0.138961104587453	0.958714042111507	NA	0.153067745542592	-0.0411554976457164	0.0139211847915571
H2afz_Tug1	0.0473624106135732	0.0153761425874183	0.778203125	64000	-0.083221991391127	0.11124517690029	0.958714042111507	NA	0.0826941552702291	0.023780661412297	0.0983635867947139
Slbp_Zbtb38	0.0474878127941969	-0.0394866055731869	0.778222222222222	63000	-0.137808048494083	0.0577614668654508	0.958714042111507	NA	-0.0152048395913809	-0.127106409332489	0.0598076110004854
Ttc4_Ubc	0.0472784424181702	0.0280449179485567	0.778092307692308	65000	-0.071026205788179	0.127294848422419	0.958714042111507	NA	0.103219868438991	-0.0220553113522522	0.109101598355365
Foxred1_Klhl13	0.0475080924252692	0.00619957588172747	0.7783125	64000	-0.0937406687442643	0.106193356516958	0.958718638802402	NA	-0.141289951657389	-0.0232161289493864	-0.0353380987235226
Gm15772_Ttc4	0.0474588358626729	-0.0186027914346626	0.77828125	64000	-0.114246373774635	0.080898210554474	0.958718638802402	NA	-0.147938803228614	0.0289853131279563	-0.038170807901365
Akr1c13_Alg8	0.0475224549182237	0.067566860821571	0.77852380952381	63000	-0.0295578844406688	0.166220297674346	0.958760408666478	NA	-0.0273064349067575	0.043296669551085	0.0915556448600587
Apeh_Igf2r	0.0471530468462935	0.167952532111888	0.7785	64000	0.0698316283675122	0.261461211482785	0.958760408666478	NA	0.135314898383981	0.0899405868563905	0.156239604031941
